organization_id,organization_name,organization_website,person_id,person_first_name,person_last_name,person_linkedin,person_email,person_title
57c4c691a6da9836ba3e162d,Cole International,http://www.coleintl.com,6244a200f544d80001a9014b,Kyle,Johnston,http://www.linkedin.com/in/kyle-johnston-mba-5b21b018,,"Executive Vice President, COO"
5f3f7ea3484fa4000183989f,Groupe Robert,http://www.robert.ca,57ddfefaa6da987b519c86ed,Jean-Robert,Lessard,http://www.linkedin.com/in/jean-robert-lessard-3a455120,,"vp marketing ,business development"
54a12a4e69702d9b8b4e1002,TCH,http://www.tchweb.com,5b22c0eda6da98795b595825,Greg,Howard,http://www.linkedin.com/in/greg-howard-2574b19,,CEO
54a12a4e69702d9b8b4e1002,TCH,http://www.tchweb.com,60fa451eed3993000113400b,Ricardo,Gonzalez,http://www.linkedin.com/in/ricardo-gonzalez-877481141,,Chief Executive Officer
54a12a4e69702d9b8b4e1002,TCH,http://www.tchweb.com,63dd43a62dc1ac00013062eb,Big,Bang,http://www.linkedin.com/in/big-bang-196a04138,,CEO
54a13c6269702d24d3ee0902,VersaCold Logistics Services,http://www.versacold.com,610b02b5fc804c0001e78d00,Michele,,http://www.linkedin.com/in/michele-arcamone-83843a13,,President & Chief Executive Officer
55f48c54f3e5bb14df000f04,Fort McKay Group of Companies LP,http://www.fortmckaygroup.com,5dfa0b37a7cc390181ad2bbb,Sami,S.,http://www.linkedin.com/in/sami-s-b3464418,,Chief Executive Officer
6124facefd797d00c27cbc06,Delmar International Inc.,http://www.delmarcargo.com,60abf9e90e597900014bf8bf,Frederick,Corey,http://www.linkedin.com/in/frederick-corey-5155a219,,Vice President Sales
6124facefd797d00c27cbc06,Delmar International Inc.,http://www.delmarcargo.com,60ddda99d4fbac00014f6bf1,Wagner,Brito,http://www.linkedin.com/in/wagner-brito-97862937,,CEO
6124facefd797d00c27cbc06,Delmar International Inc.,http://www.delmarcargo.com,6029c4ba35cfa000011db023,Jean,Ruiz,http://www.linkedin.com/in/jean-ruiz-983b789a,,CEO
6124facefd797d00c27cbc06,Delmar International Inc.,http://www.delmarcargo.com,604af305fa4503000194e084,Naomi,Simms,http://www.linkedin.com/in/naomi-simms-191565100,,"Vice President Sales, Canada"
6124facefd797d00c27cbc06,Delmar International Inc.,http://www.delmarcargo.com,54a47a517468692cf016724a,Stefania,Albanese-Monforti,http://www.linkedin.com/in/stefaniaalbanese,,Vice President US Sales
6124facefd797d00c27cbc06,Delmar International Inc.,http://www.delmarcargo.com,60d07906b76e190001eb716c,Robert,Cutler,http://www.linkedin.com/in/delmarcargo,,CEO & Chairman
54a1398869702d2a1ebd5500,Array Marketing,http://www.arraymarketing.com,55e5cc5df3e5bb79fe0005fc,Patrick,Christie,http://www.linkedin.com/in/patrick-christie-b088b95,,"Consultant, Senior Vice President Sales and Marketing"
54a1398869702d2a1ebd5500,Array Marketing,http://www.arraymarketing.com,62850be3156f070001456f70,Joseph,Martellucci,http://www.linkedin.com/in/joseph-martellucci-7165a91b7,,Vice President of Sales
54a1398869702d2a1ebd5500,Array Marketing,http://www.arraymarketing.com,611c05a307a5e80001eceda4,Joanne,Callaghan,http://www.linkedin.com/in/joanne-callaghan-52554250,,Vice President of Sales
54a1398869702d2a1ebd5500,Array Marketing,http://www.arraymarketing.com,65164ef8c716d60001612b79,Steve,Kremser,http://www.linkedin.com/in/steve-kremser-13b8557,,Chief Executive Officer
54a1398869702d2a1ebd5500,Array Marketing,http://www.arraymarketing.com,557092cc736964257b5c4e00,Paul,O'Meara,http://www.linkedin.com/in/paul-o-meara-b377b211,,VP Sales
54a1225369702d84c51efd02,Assent,http://www.assent.com,61ef0bee1b357b00019361ca,Andrew,W.,http://www.linkedin.com/in/andrew-w-333322,,"Co-Founder, CEO"
54a1225369702d84c51efd02,Assent,http://www.assent.com,5f75d018b35fbd0001fe8e22,Dave,Curley,http://www.linkedin.com/in/dave-curley-977a76,,Chief Revenue Officer (CRO)
54a1225369702d84c51efd02,Assent,http://www.assent.com,60fc8dedee01260001024fdb,Heather,Frick,http://www.linkedin.com/in/heatherfrick,,Chief Marketing Officer
54a1225369702d84c51efd02,Assent,http://www.assent.com,6107984e3af768000115064f,Aaron,Korsen,http://www.linkedin.com/in/aaronkorsen,,Sr. Vice President of Sales
54a1345769702d2db4d48300,Johnston Equipment,http://www.johnstonequipment.com,57d6fdeba6da986b45b2e057,Gabriel,Nardi,http://www.linkedin.com/in/gabriel-nardi-8302342b,,Senior Vice President Sales and Marketing
54a1345769702d2db4d48300,Johnston Equipment,http://www.johnstonequipment.com,5fd7e5de77588e0001db6608,Marc-Andre,Raymond,http://www.linkedin.com/in/marc-andre-raymond-6602a2a,,"Senior Vice President, New Equipment, Automated Systems Solutions & Marketing"
556dac937369641208336201,Chemco,http://www.chemco.com,54aabf9b746869037733a316,Marhotra,Mehrotra,http://www.linkedin.com/in/marhotra-chemco-mehrotra-4b992475,,CEO
556dac937369641208336201,Chemco,http://www.chemco.com,64256fe63d777c0001ca6804,Alexander,Ujueta,http://www.linkedin.com/in/alexander-ujueta-932668232,,CEO
5da656c834d3900001f81050,Metro Supply Chain,http://www.metroscg.com,604a6ab69f93fd00011b6c85,Chris,Fenton,http://www.linkedin.com/in/chris-fenton-1085b27,,President and Chief Executive Officer
603511bce418a2011a13440d,CellCarta,http://www.cellcarta.com,54a5fffb7468693209213aba,Benoit,Houle,http://www.linkedin.com/in/benoit-houle-6685174,,Vice President Sales Operations & Marketing
603511bce418a2011a13440d,CellCarta,http://www.cellcarta.com,64133a0854bc630001a90441,Greg,Ruppert,http://www.linkedin.com/in/greg-ruppert-8a92bb10,,"VP, North America Sales"
5f402427180a8d00011f1a68,BioScript Solutions,http://www.bioscript.ca,64aff2181ca5540001382e33,Lisa,Matar,http://www.linkedin.com/in/lisa-matar-396a076,,Chief Executive Officer
615e503679bc810001a0d0ee,SCI Group Inc,http://www.sci.ca,6290b877c0beda000194f2d9,Tane,Surijuris,http://www.linkedin.com/in/tane-surijuris-4a5452238,,Group CEO
615e503679bc810001a0d0ee,SCI Group Inc,http://www.sci.ca,6065f1c7c6a9dd0001e158a0,Louise,Villeneuve,http://www.linkedin.com/in/louisevilleneuve,,VP Business Development and Marketing
615e503679bc810001a0d0ee,SCI Group Inc,http://www.sci.ca,60abf7c3397c0a0001b6d246,Dave,Mack,http://www.linkedin.com/in/davegmack,,"Vice President, Omni-Channel Retail & Marketing"
615e503679bc810001a0d0ee,SCI Group Inc,http://www.sci.ca,611bf7fd454d4400017cd22e,Chris,Galindo,http://www.linkedin.com/in/chris-galindo-40737b16,,President & CEO
615e503679bc810001a0d0ee,SCI Group Inc,http://www.sci.ca,61764f9ac35d4600019ef8ad,Ron,Hewitt,http://www.linkedin.com/in/ron-hewitt-081133,,President & CEO
54a242717468693cdd02c31a,Midland Transport,http://www.midlandtransport.com,5ece341b9627a800018cf531,Scott,Spidell,http://www.linkedin.com/in/scott-spidell-73004211,,vp sales & marketing
54a242717468693cdd02c31a,Midland Transport,http://www.midlandtransport.com,54a3b0427468692cf093e40a,Ed,Stodulski,http://www.linkedin.com/in/ed-stodulski-9b035729,,Vice President of Sales
5500c3957369641789a74600,Richardson International,http://www.richardson.ca,60f1a6db182aae0001bc876c,Craig,Sheldon,http://www.linkedin.com/in/craig-sheldon-399b6035,,"Chief Financial Officer & Executive Vice President, Finance"
54a13bfd69702d2bfd27ae01,Farrow,http://www.farrow.com,54c2865d7468697af7f27ba4,Grant,Robinson,http://www.linkedin.com/in/grantrobinsoninds,,CEO
54a13bfd69702d2bfd27ae01,Farrow,http://www.farrow.com,64496c79b19828000115b5da,Marvin,Rosenzweig,http://www.linkedin.com/in/marvinrosenzweig1,,"Vice President, North American Sales and Marketing"
5def9e4a508a14008cfb5f60,Logistec Corporation,http://www.logistec.com,611b28013c8385000166e668,Sean,Pierce,http://www.linkedin.com/in/sean-pierce-0597b78,,Chief Executive Officer
54a129a269702dcef9a7ba01,Atlantic Packaging Products Ltd.,http://www.atlantic.ca,5ab71b44a6da98af2bd68534,Bill,Cooper,http://www.linkedin.com/in/bill-cooper-27bb129,,Vice President Sales
54a129a269702dcef9a7ba01,Atlantic Packaging Products Ltd.,http://www.atlantic.ca,6139ed0abb7b7a00011a8031,Adam,Pauwels,http://www.linkedin.com/in/adam-pauwels-104576214,,Vice President of Sales Ontario Corrugated Division
54a129d469702db8785e9a01,Challenger Motor Freight Inc,http://www.challenger.com,611cd5f5ddb4f50001ffc87f,Jim,Peeples,http://www.linkedin.com/in/jim-peeples-58685814,,President & CEO at Challenger Group
54a129d469702db8785e9a01,Challenger Motor Freight Inc,http://www.challenger.com,57e0eedaa6da987d68a33ec0,Nevil,Corbeth,http://www.linkedin.com/in/nevil-corbeth-mba-5322372,,Vice President of Sales - Logistics
54a12b5869702d93134fb502,TRAFFIX,http://www.traffix.com,60d2b5bda07b820001b9f168,Augie,Picado,http://www.linkedin.com/in/augiepicado,,Vice President Marketing
54a12b5869702d93134fb502,TRAFFIX,http://www.traffix.com,54a72ee77468696829aff31c,Jaime,Howlett,http://www.linkedin.com/in/jaime-howlett-b465553a,,VP of Carrier Sales - Canada
54a12b5869702d93134fb502,TRAFFIX,http://www.traffix.com,55714e0973696453104c8c00,James,Howard,http://www.linkedin.com/in/jameshoward7117,,Vice President of Sales
54a1a64274686942d363b804,CCL Industries,,60244ad843eb770001deeb64,Isabelle,Duet,http://www.linkedin.com/in/isabelle-duet-2045592b,,Vice-President Sales and Marketing Europe - CCL Label Home & Personal Care
54a1a64274686942d363b804,CCL Industries,,60b34d82ba31fd00010e2ca9,Pat,Moore,http://www.linkedin.com/in/pat-moore-819b8b17,,Vice President Sales and Marketing
54a1a64274686942d363b804,CCL Industries,,649f429115d12e0001cb77e0,Dan,Webb,http://www.linkedin.com/in/dan-webb-3743bb2,,Vice President of Sales
54a1a64274686942d363b804,CCL Industries,,60244b0a4eeb58000192ecba,Armando,Oliveira,http://www.linkedin.com/in/armando-oliveira-336440aa,,Asia Sales & MKT VP
54a1a64274686942d363b804,CCL Industries,,54ebd5a8746869444c7a802f,Geoffrey,Martin,http://www.linkedin.com/in/geoffrey-martin-a9562521,,CEO
